Crazyflie name,QTM packet timestamp (s),QTM_x (m),QTM_y (m),QTM_z (m),cf_yaw (°),QTM_vx (m/s),QTM_vy (m/s),QTM_vz (m/s),x_g (m),y_g (m),z_g (m),yaw_g (°),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM) 
cf1_sim,45.120000000001454,-0.7173730132003021,0.06585708355155004,0.4,12.480000000000793,0.15354864730813403,-0.42527538108514984,0.0,-0.47472958506637764,-0.3051926607581923,0.5,26.627521363179973,-0.7721429111956382,2.2622138523527817,-71,65000
cf1_sim,45.14000000000146,-0.7141621970861552,0.05743668848932972,0.4,13.900000000000793,0.16054080570734205,-0.42101975311101586,0.0,-0.4656987022868468,-0.3076810942082978,0.5,28.096076350281766,-0.7595923463770288,2.2638072264338214,-71,65000
cf1_sim,45.16000000000146,-0.7108133775192097,0.04910403715987026,0.4,15.320000000000793,0.16744097834727958,-0.41663256647297314,0.0,-0.4566546179778984,-0.3099743487699496,0.5,29.569287469971762,-0.7470756763665243,2.2653069234471004,-71,65000
cf1_sim,45.18000000000146,-0.707328445722902,0.04086172287219133,0.4,16.74000000000079,0.17424658981538718,-0.41211571438394645,0.0,-0.447601308040541,-0.312072373428385,0.5,31.0470173141483,-0.734594005907177,2.2667139316487366,-72,65000
cf1_sim,45.20000000000147,-0.7037093436586622,0.03271230005225606,0.4,18.18000000000079,0.1809551032119873,-0.40747114099676357,0.0,-0.4385427477301672,-0.3139751970393033,0.5,32.5291214683548,-0.7213566830108412,2.2682811965745295,-72,65000
cf1_sim,45.22000000000147,-0.6999580632354546,0.024658283239794396,0.4,19.620000000000793,0.18756402116037882,-0.40270084062308314,0.0,-0.42948291005765327,-0.31568292829562306,0.5,34.015448593267244,-0.7081555653943439,2.269748863691255,-72,65000
cf1_sim,45.24000000000147,-0.6960766454994325,0.016702146101148733,0.4,21.060000000000795,0.19407088680110615,-0.3978068569322831,0.0,-0.4204257641914652,-0.3171957556622612,0.5,35.505840530190454,-0.6949917916864291,2.2711180138486484,-72,65000
cf1_sim,45.260000000001476,-0.6920671798040324,0.008846320458536134,0.4,22.500000000000796,0.20047328477000462,-0.39279128213062997,0.0,-0.4113752738614103,-0.3185139472789618,0.5,37.000132431004246,-0.6818664768343482,2.2723897461858114,-73,65000
cf1_sim,45.28000000000148,-0.6879318029608398,0.0010931953361149943,0.4,23.9600000000008,0.20676884215963165,-0.387656256121057,0.0,-0.40233539576467336,-0.3196378508312119,0.5,38.498152912859084,-0.6679870470726621,2.273798487631769,-73,65000
cf1_sim,45.30000000000148,-0.6836726983715657,-0.0065548839767627706,0.4,25.420000000000798,0.2129552294636989,-0.38240396564388823,0.0,-0.39331007797477496,-0.3205678933892987,0.5,39.99972423777141,-0.6541474012837484,2.275102677891039,-73,65000
cf1_sim,45.320000000001485,-0.6792920951414831,-0.014095616844739804,0.4,26.8800000000008,0.21903016150412796,-0.3770366433988517,0.0,-0.38430325835408885,-0.3213045812155718,0.5,41.50466251711012,-0.6403486846616039,2.276303511265467,-73,65000
cf1_sim,45.34000000000149,-0.674792267174676,-0.02152674818771446,0.4,28.3400000000008,0.2249913983403587,-0.3715565671487327,0.0,-0.37531886297055284,-0.3218484995399884,0.5,43.01277794079992,-0.6265920157549353,2.2774021998406346,-73,65000
